file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/d02_processed_data/156/011_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-130.3041572387344,258.3383070451071
Rehab_assessment/d02_processed_data/156/011_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-43.76150719079569,36.83696306228026
Rehab_assessment/d02_processed_data/156/011_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/012_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-150.11452988175128,326.14234825985227
Rehab_assessment/d02_processed_data/156/012_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-119.27035091083408,98.61998540305902
Rehab_assessment/d02_processed_data/156/012_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/013_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1791,0,-11.627061681046598,10.653475231706125
Rehab_assessment/d02_processed_data/156/013_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1943,0,-5.528818034790463,7.0750135919772665
Rehab_assessment/d02_processed_data/156/013_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/014_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-133.26864813039296,243.98429190323867
Rehab_assessment/d02_processed_data/156/014_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1948,0,-66.36426334292102,76.95445062320186
Rehab_assessment/d02_processed_data/156/014_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/015_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/015_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1,0,0.0,0.0
